Company Name,Industry,Symbol,Series,ISIN Code,Ticker
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,BAJAJFINSV.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,BHARTIARTL.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,BRITANNIA.NS
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,CIPLA.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,COALINDIA.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,DRREDDY.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,EICHERMOT.NS
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,GRASIM.NS
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,HCLTECH.NS
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,HDFCLIFE.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,HEROMOTOCO.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,HINDALCO.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,HINDUNILVR.NS
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,EQ,INE001A01036,HDFC.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,ICICIBANK.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,ITC.NS
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,INDUSINDBK.NS
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,INFY.NS
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,JSWSTEEL.NS
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,KOTAKBANK.NS
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,LT.NS
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,M&M.NS
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,MARUTI.NS
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NTPC.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016,NESTLEIND.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,ONGC.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,POWERGRID.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,RELIANCE.NS
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,SBILIFE.NS
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,SBIN.NS
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,SUNPHARMA.NS
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,TCS.NS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,TATACONSUM.NS
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,TATAMOTORS.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,TATASTEEL.NS
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,TECHM.NS
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,TITAN.NS
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,UPL.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,ULTRACEMCO.NS
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,WIPRO.NS
