Company Name,Industry,Symbol,Series,ISIN Code,Ticker
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,ACC.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL.NS
Adani Transmission Ltd.,Power,ADANITRANS,EQ,INE931S01010,ADANITRANS.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,DMART.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,BAJAJHLDNG.NS
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,BANDHANBNK.NS
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,BANKBARODA.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,BERGEPAINT.NS
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,BEL.NS
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,BIOCON.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,BOSCHLTD.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,CHOLAFIN.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,COLPAL.NS
DLF Ltd.,Realty,DLF,EQ,INE271C01023,DLF.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,DABUR.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,NYKAA.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,GAIL.NS
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,GLAND.NS
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,GODREJCP.NS
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,HDFCAMC.NS
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,HAVELLS.NS
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01012,HAL.NS
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,ICICIPRULI.NS
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,IOC.NS
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,IRCTC.NS
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,INDUSTOWER.NS
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,NAUKRI.NS
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,INDIGO.NS
Larsen & Toubro Infotech Ltd.,Information Technology,LTI,EQ,INE214T01019,LTI.NS
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,LICI.NS
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,MARICO.NS
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,MPHASIS.NS
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,MUTHOOTFIN.NS
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,PAYTM.NS
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,PIIND.NS
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,PIDILITIND.NS
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,PGHH.NS
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,SBICARD.NS
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,SRF.NS
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,MOTHERSON.NS
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,SHREECEM.NS
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,SIEMENS.NS
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,TATAPOWER.NS
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,TORNTPHARM.NS
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,EQ,INE854D01024,MCDOWELL-N.NS
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,VEDL.NS
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,ZOMATO.NS
